c1,c2,c3,w1,w2,w3,l1,l2,l3,i1,i2,i3,r1,r2,r3
0.00057551,0.00057571,0.99999073,4.8e-06,4.8e-06,0.9999904,1.988e-05,1.988e-05,0.99996024,3.3e-07,3.3e-07,0.99999934,3.3e-07,3.3e-07,0.99999934
0.00053923,0.00053916,0.99999199,4.15e-06,4.15e-06,0.9999917,1.696e-05,1.696e-05,0.99996607,2.9e-07,2.9e-07,0.99999942,2.9e-07,2.9e-07,0.99999942
0.00050563,0.00050509,0.99999308,3.59e-06,3.59e-06,0.99999282,1.447e-05,1.447e-05,0.99997106,2.6e-07,2.6e-07,0.99999949,2.6e-07,2.6e-07,0.99999949
0.0004738,0.00047438,0.99999401,3.1e-06,3.11e-06,0.99999379,1.234e-05,1.234e-05,0.99997532,2.2e-07,2.3e-07,0.99999955,2.2e-07,2.3e-07,0.99999955
0.00044559,0.00044523,0.99999482,2.69e-06,2.69e-06,0.99999462,1.051e-05,1.051e-05,0.99997899,2e-07,2e-07,0.9999996,2e-07,2e-07,0.9999996
0.00041808,0.00041791,0.99999552,2.33e-06,2.33e-06,0.99999535,8.96e-06,8.96e-06,0.99998209,1.7e-07,1.7e-07,0.99999965,1.7e-07,1.7e-07,0.99999965
0.00039208,0.00039279,0.99999613,2.01e-06,2.02e-06,0.99999597,7.62e-06,7.63e-06,0.99998475,1.5e-07,1.5e-07,0.99999969,1.5e-07,1.5e-07,0.99999969
0.00036868,0.00036889,0.99999665,1.74e-06,1.74e-06,0.99999651,6.49e-06,6.49e-06,0.99998702,1.4e-07,1.4e-07,0.99999973,1.4e-07,1.4e-07,0.99999973
0.00034711,0.00034666,0.9999971,1.51e-06,1.51e-06,0.99999698,5.52e-06,5.52e-06,0.99998896,1.2e-07,1.2e-07,0.99999976,1.2e-07,1.2e-07,0.99999976
0.00032602,0.00032638,0.99999749,1.31e-06,1.31e-06,0.99999739,4.69e-06,4.69e-06,0.99999062,1.1e-07,1.1e-07,0.99999979,1.1e-07,1.1e-07,0.99999979
0.00030647,0.00030705,0.99999783,1.13e-06,1.13e-06,0.99999774,3.98e-06,3.99e-06,0.99999203,9e-08,9e-08,0.99999981,9e-08,9e-08,0.99999981
0.00028854,0.00028834,0.99999813,9.8e-07,9.8e-07,0.99999804,3.38e-06,3.38e-06,0.99999323,8e-08,8e-08,0.99999983,8e-08,8e-08,0.99999983
