HF,UHF,MP2,UMP2,MP3,UMP3,MP4,UMP4,CISD,UCISD,CCD,UCCD,CCSD,UCCSD,CCSD(T),UCCSD(T),QCISD,UQCISD,QCISD(T),UQCISD(T),CASSCF,CASPT2,SC-NEVPT2,FIC-NEVPT2,MRCI
-399.2109753203837,-399.2139729824264,-399.30762751268026,-399.29837598578024,-399.3208018422319,-399.3101944712428,-399.3279311852145,-399.3178168780922,-399.3189285130147,-399.31383052596976,-399.3248722772028,-399.3150346326466,-399.326336841,-399.325283188,-399.3306257954831,-399.33027473397294,-399.326544102,-399.324601409,-399.33072549638706,-399.3301101601842,-399.2737875794137,-399.324885564021,-399.324412681093,-399.324671094339,-399.328688107312
-399.21257764292,-399.2151845977656,-399.3086307696453,-399.2996511091701,-399.32174653686127,-399.31150192991254,-399.328825667058,-399.3191242575628,-399.3199495587031,-399.3150448555471,-399.32587967938895,-399.3163854437788,-399.327315091,-399.326344554,-399.3315087298535,-399.3311998598436,-399.327514891,-399.325706474,-399.3316044404771,-399.33104629052553,-399.27532147585765,-399.325829867504,-399.325363517307,-399.325607862475,-399.329551930312
-399.2140025540064,-399.21624192418886,-399.3094778767765,-399.30082038936973,-399.3225374847096,-399.31270675517055,-399.32956868915386,-399.3203228517486,-399.3208153193776,-399.3161303625044,-399.32673470732607,-399.31763217142986,-399.328142989,-399.327257439,-399.33224252465544,-399.33197427459726,-399.328335625,-399.326668715,-399.33233443301685,-399.33183430143447,-399.2766930680184,-399.326627358762,-399.326168204766,-399.326398529312,-399.330274236677
-399.215270691812,-399.217168592358,-399.310190873618,-399.30190613500247,-399.3231967349655,-399.3138306913465,-399.33018240206513,-399.32143332083297,-399.3215477307168,-399.31710761921494,-399.3274591315462,-399.31879472137194,-399.328842446,-399.328042492,-399.3328493462204,-399.33261958583824,-399.329028256,-399.327507896,-399.3329376664327,-399.33249534219055,-399.2779201894332,-399.327299800216,-399.32684705676,-399.327063745658,-399.33087226646
-399.2164003259302,-399.21798507183433,-399.3107890726735,-399.3029270064316,-399.3237435901559,-399.3148918958806,-399.3306861775183,-399.32247289867377,-399.3221660281633,-399.3179940670695,-399.328072004223,-399.31989130026574,-399.329432609,-399.328718398,-399.33334856751776,-399.3331551736688,-399.329611968,-399.328241175,-399.3334335334204,-399.3330475463365,-399.27902014348126,-399.327867207926,-399.32741965288,-399.327623366019,-399.331385051314
-399.2174076041377,-399.2187089447645,-399.31128922702294,-399.3038982357575,-399.32419476904766,-399.31590515843936,-399.3310967679064,-399.3234556372575,-399.3226869038376,-399.31880428650413,-399.3285898101272,-399.3209362720276,-399.329930012,-399.329298795,-399.33375691591846,-399.3335962793944,-399.330103317,-399.328882158,-399.3338387746501,-399.3335072377588,-399.2800080806303,-399.328345067631,-399.327902690278,-399.328093685582,-399.33184947422
-399.218306779172,-399.2193551827045,-399.3117057167594,-399.3048314909963,-399.3245646068668,-399.3168817221895,-399.33142850609113,-399.3243922462672,-399.32312471032094,-399.31955004706066,-399.3290266751743,-399.32194059145127,-399.330348785,-399.329799693,-399.33408867934145,-399.33395946190666,-399.330516448,-399.329442998,-399.3341676845625,-399.33388746115753,-399.28089597850095,-399.32874611645,-399.328309716704,-399.32848825251,-399.332152530704
-399.2191104158642,-399.2199364218878,-399.3120507785232,-399.30573603803737,-399.3248652842509,-399.3178305414687,-399.3316935369589,-399.3252913591263,-399.3234916723096,-399.320241084824,-399.3293945803396,-399.32291302298614,-399.330700871,-399.330228343,-399.334355925172,-399.3342528080926,-399.330863307,-399.329933635,-399.33443233099814,-399.33419961467393,-399.2816973530555,-399.329083659445,-399.328649901032,-399.328816852265,-399.33240666366
-399.2198295795499,-399.2204632336525,-399.31233475135247,-399.3066183676133,-399.32510707950337,-399.31875781112046,-399.33190207444335,-399.32615906049534,-399.32379814752096,-399.3208850256879,-399.3297036320549,-399.3238597073913,-399.330996301,-399.330596041,-399.3345687789218,-399.33448828237306,-399.331153923,-399.330364188,-399.3346428345325,-399.3344552389422,-399.2824195522053,-399.32936648037,-399.328936480246,-399.329093152445,-399.332666487583
-399.22047400666946,-399.2209443838841,-399.3125663382326,-399.307482931858,-399.32529862984046,-399.3196677367956,-399.3320626689019,-399.32699964836263,-399.32405286632553,-399.3214878870015,-399.3299623088872,-399.3247848988152,-399.331243449,-399.330910673,-399.3347356804801,-399.3346744152791,-399.331396657,-399.330737542,-399.3348076256231,-399.3346585014805,-399.2830728133823,-399.329604046825,-399.329178300621,-399.329324285159,-399.332832758915
-399.2210522585476,-399.22138707817606,-399.31275286426256,-399.3083322498968,-399.3254471866917,-399.3205625960829,-399.3321824689646,-399.3278156930995,-399.3242631764797,-399.322054212022,-399.33017771459,-399.3256910280592,-399.331449288,-399.331178873,-399.3348636480807,-399.33481839058834,-399.331598464,-399.331061554,-399.3349337095522,-399.3348183227978,-399.28366439436826,-399.329802915176,-399.329382161995,-399.329518381978,-399.332975982649
-399.22157185962,-399.22179718894415,-399.3129005030909,-399.3091678271577,-399.32555885131137,-399.3214437153165,-399.33226746331434,-399.32860896367816,-399.32443527237695,-399.3225876997389,-399.3303558142189,-399.32657962397866,-399.331619637,-399.331406293,-399.3349585261988,-399.33492628395845,-399.331765142,-399.331341177,-399.3350269153644,-399.3349405805346,-399.2842001946112,-399.329965154933,-399.329547316436,-399.329675027689,-399.333017635726
-399.2220394210954,-399.2221794623627,-399.313014490606,-399.309989786189,-399.32563878387253,-399.32231101925447,-399.33232269505635,-399.32937999695565,-399.3245744003573,-399.32309100350267,-399.3305016449868,-399.327450901204,-399.331759373,-399.331597754,-399.33502520664456,-399.335003255208,-399.331901545,-399.331580684,-399.33509211788623,-399.33503031258954,-399.2846864103288,-399.330098569935,-399.329683577287,-399.329803454282,-399.333184599937
-399.2224607513071,-399.2225377039484,-399.3130993001183,-399.3107976498763,-399.32569138080635,-399.32316386009626,-399.3323524432107,-399.330128869307,-399.3246850237252,-399.3235662772024,-399.3306194838482,-399.32830452723584,-399.331872612,-399.331757439,-399.33506780465694,-399.3350537184892,-399.33201176,-399.331783891,-399.3351334146097,-399.33509189362536,-399.28512711796986,-399.330203477126,-399.329792832384,-399.329903725425,-399.333190332085
-399.2228409538761,-399.2228749423336,-399.31315878838205,-399.3115908786857,-399.32572042084314,-399.32400158526775,-399.3323603717064,-399.330855698908,-399.32477097271334,-399.324015421824,-399.3307129991952,-399.329140149707,-399.331962857,-399.331889033,-399.33508981854544,-399.33508149332494,-399.332099267,-399.331954294,-399.3351542860729,-399.33512916323514,-399.2855288015175,-399.330271064421,-399.329881027851,-399.329983946634,-399.333203889949
-399.2231845147448,-399.22319357215355,-399.3131963117712,-399.3123675996851,-399.3257291813269,-399.3248221122428,-399.332349647663,-399.33155935350095,-399.32483555726424,-399.32443952228726,-399.33078536343504,-399.3299560854936,-399.332033121,-399.331995782,-399.3350942476423,-399.3350899155111,-399.332167051,-399.332095036,-399.3351577143564,-399.3351455021356,-399.28589410322184,-399.330334237522,-399.329947135416,-399.330042447292,-399.333187516433
