HF,UHF,CASSCF,VB,cov,ion,CF,BOVB,MP2,UMP2,MP3,UMP3,MP4,UMP4,CID,UCID,CISD,UCISD,CCD,UCCD,CCSD,UCCSD,CCSD(T),UCCSD(T),QCISD,UQCISD,QCISD(T),UQCISD(T),CCSDT,CCSDT_ORCA,CCSDT(Q),CCSDT[Q],CCSDTQ,CCSDT_nofc,CCSDT(Q)_nofc,CCSDT[Q]_nofc,CASPT2,SC-NEVPT2,FIC-NEVPT2,FIC-MRCISD,FIC-MRCISD+Q
-193.0107434952472,-193.0107434953536,-193.01373707073148,-191.989308537567,-191.986494955785,-192.007400319859,-192.07011033975,-192.112980092461,-193.48183753667124,-193.48183753711967,-193.47944512721872,-193.47944512683648,-193.49195799568528,-193.49195799522568,-193.4588891187317,-193.4588891182408,-193.4597198133864,-193.459719813136,-193.48100486066983,-193.481004843752,-193.481958543,-193.481958521,-193.4906278166972,-193.49062779021733,-193.482223568,-193.48222355,-193.49075135901867,-193.49075133600235,-193.490650966366,,-193.4909304568848,-193.49072719782384,,-193.5278587881242,-193.52815137935795,-193.5279442916461,-193.419650334321,-193.352632431426,-193.383463006386,-193.44055945,-193.46187384
-194.6356369026676,-194.6356369027046,-194.6392381006476,-193.917228822262,-193.81260410621,-193.842443787495,-193.919175029829,-193.954596226625,-195.10613871999496,-195.1061387208609,-195.1055056646112,-195.10550566448984,-195.1174177256662,-195.11741772552853,-195.08468124954524,-195.08468124934927,-195.08555252524567,-195.08555252501185,-195.1065654253715,-195.10656543385937,-195.107567966,-195.107567987,-195.1160766146596,-195.11607663601148,-195.107870431,-195.107870421,-195.11621186150057,-195.11621185078263,-195.1160648959576,-195.11606149931697,-195.116285343538,-195.11609341775167,-195.1162774290991,-195.152090647542,-195.1523244925024,-195.1521291993204,-195.030133312315,-194.976387262966,-194.99848531372,-195.03187127,-195.0501857
-195.7970052554909,-195.7970052555253,-195.8005365760108,-195.258436083449,-195.212127963968,-195.197007654405,-195.25979960151,-195.288331817613,-196.2664459206684,-196.26644592078,-196.2677052055552,-196.2677052056964,-196.27909366064543,-196.2790936607976,-196.24646557047424,-196.2464655706088,-196.24738127284607,-196.24738127289623,-196.2683155529492,-196.26831555024788,-196.26937265,-196.269372651,-196.2778562175716,-196.2778562181431,-196.269697843,-196.269697836,-196.2779981399981,-196.27799813559875,-196.27784252366024,,-196.27802491132627,-196.2778358053102,,-196.3126955343472,-196.3128915535856,-196.3126993807517,-196.213136312647,-196.166243859023,-196.179748297162,-196.20318959,-196.22237024
-196.63355384106185,-196.63355384106467,-196.63708040194,-196.23363817388,-196.197670991688,-196.153135586626,-196.23588452659,-196.257777914628,-197.10215218852093,-197.1021521884708,-197.1050966451592,-197.1050966452109,-197.1161062159992,-197.11610621603776,-197.08335669517808,-197.08335669522373,-197.0843160836745,-197.084316083722,-197.10533462840297,-197.1053346264564,-197.106445598,-197.106445598,-197.1149965047697,-197.11499650500457,-197.106782455,-197.106782449,-197.1151421793585,-197.11514217564232,-197.11499024680788,-197.1149881633042,-197.1151528635978,-197.1149645115437,-197.11515352508644,-197.14863503760748,-197.1488114947361,-197.14862028140692,-197.010087631808,-196.951163294653,-196.978819752687,-197.00558596,-197.02273468
-197.23950856340247,-197.23950856340377,-197.24294462316115,-196.944514603038,-196.906194758389,-196.839934198615,-196.946196846464,-196.966121019841,-197.70786068512675,-197.70786068518504,-197.71213473424805,-197.7121347342528,-197.72295933877112,-197.72295933878283,-197.68983592046783,-197.68983592047144,-197.69084146720016,-197.69084146719257,-197.71209107293,-197.71209107110988,-197.713258029,-197.713258029,-197.7219572465984,-197.72195724680128,-197.713601463,-197.713601458,-197.7221058498658,-197.7221058467296,-197.72195991399977,,-197.7221178779748,-197.72192933348305,,-197.75438226227047,-197.75455431728048,-197.7543630438284,-197.611904751951,-197.551984105613,-197.580405353151,-197.60836849,-197.62544372
-197.67991219582208,-197.67991219583087,-197.683245202018,-197.463613137748,-197.372444490742,-197.3302603859,-197.464642435413,-197.486342642148,-198.14878766401657,-198.1487876646437,-198.1539928246882,-198.1539928247857,-198.1648499613736,-198.16484996145647,-198.1310858806542,-198.1310858806716,-198.13214583371607,-198.13214583361048,-198.153757856627,-198.15375785484164,-198.15498931,-198.15498931,-198.163915162826,-198.16391516307985,-198.15533927,-198.155339266,-198.16406757455584,-198.1640675717865,-198.1639254330275,-198.1639241131599,-198.1640915685549,-198.16390142521072,-198.1640899412508,-198.1951504538456,-198.1953310192258,-198.19513821366368,-198.048557650908,-197.98771239115,-198.016821118177,-198.0461262,-198.06318393
-198.0003429266721,-198.00034292667624,-198.01695628488008,-197.84303823061,-197.781481691407,-197.676677471791,-197.844098334608,-197.868232902437,-198.4705716813416,-198.47057168169687,-198.4763182039269,-198.47631820412064,-198.48743198695527,-198.4874319871248,-198.4527543963557,-198.4527543964844,-198.4538832571796,-198.4538832571566,-198.47597387070743,-198.4759738640816,-198.477285968,-198.477285967,-198.48651648730063,-198.486516487624,-198.477645958,-198.477645954,-198.4866748378585,-198.4866748349088,-198.48653217532603,,-198.48671837566872,-198.48652449411043,,-198.5166285937736,-198.5168296737622,-198.51663313080783,-198.451475278858,-198.411877008595,-198.416463717459,-198.44080197,-198.46244441
-198.2331938740801,-198.2331938740849,-198.25264150807004,-198.118105282163,-198.044825532579,-197.91874441088,-198.121678731434,-198.148088976714,-198.70560226728503,-198.70560226722097,-198.71153283439423,-198.71153283438704,-198.72312484493247,-198.72312484491889,-198.68725991148568,-198.68725991148432,-198.6884781882662,-198.68847818827817,-198.7111489407048,-198.7111489383722,-198.712565933,-198.712565934,-198.72217923214896,-198.7221792335955,-198.712941896,-198.712941891,-198.72234653967607,-198.72234653580864,-198.7221981856796,-198.72219737752897,-198.72241666124737,-198.7222162684008,-198.72240630845343,-198.7512715088208,-198.7515054320253,-198.75130230671988,-198.69547980557,-198.656456023845,-198.660699304553,-198.68376973,-198.70694162
-198.4017639914784,-198.40176399148032,-198.42446967467043,-198.31403421941,,-198.087240149112,-198.324528584681,-198.353074983018,-198.87712996786007,-198.87712996785413,-198.88293004128167,-198.88293004130256,-198.89521421485867,-198.89521421488533,-198.8578913352756,-198.8578913352991,-198.85922478740963,-198.8592247874156,-198.88256301357137,-198.88256301107805,-198.884117055,-198.884117062,-198.89419082332583,-198.8941908286124,-198.884516639,-198.884516658,-198.89437069488085,-198.8943707119572,-198.89421137850425,,-198.8944755606836,-198.8942654242609,,-198.9223861644153,-198.92266647958104,-198.92245345878567,-198.870763627465,-198.832729931606,-198.836882270235,-198.85836812,-198.88245372
-198.52294874221107,-198.5229487422665,-198.54938989232124,,-198.369921791326,-198.200202596183,-198.47249968348,-198.502965679347,-199.00196710848587,-199.0019671087645,-199.00736905077696,-199.0073690507392,-199.0205480845052,-199.02054808456523,-198.98150445136795,-198.98150445133368,-198.9829827767219,-198.98298277668093,-199.00706205902537,-199.00706204663896,-199.008792244,-199.00879224,-199.0194029388475,-199.0194029352208,-199.009224306,-199.009224301,-199.0195993314842,-199.0195993275887,-199.0194240794873,-199.01942363824716,-199.01974911568163,-199.0195257328402,-199.0197239322232,-199.04682484961867,-199.04716682027967,-199.0469403110253,-198.997528624045,-198.960406421389,-198.964553456809,-198.98453623,-199.00930849
