c1,c2,c3,w1,w2,w3,l1,l2,l3,i1,i2,i3,r1,r2,r3
0.00066269,0.00066269,0.99999865,9e-07,9e-07,0.99999821,1.02e-06,1.02e-06,0.99999797,4.4e-07,4.4e-07,0.99999912,4.4e-07,4.4e-07,0.99999912
0.00058385,0.00058385,0.99999898,6.8e-07,6.8e-07,0.99999864,7.6e-07,7.6e-07,0.99999847,3.4e-07,3.4e-07,0.99999932,3.4e-07,3.4e-07,0.99999932
0.00051082,0.00051082,0.99999924,5.1e-07,5.1e-07,0.99999898,5.7e-07,5.7e-07,0.99999887,2.6e-07,2.6e-07,0.99999948,2.6e-07,2.6e-07,0.99999948
0.00044809,0.00044809,0.99999944,3.8e-07,3.8e-07,0.99999924,4.2e-07,4.2e-07,0.99999915,2e-07,2e-07,0.9999996,2e-07,2e-07,0.9999996
0.0003896,0.0003896,0.99999959,2.8e-07,2.8e-07,0.99999943,3.1e-07,3.1e-07,0.99999938,1.5e-07,1.5e-07,0.9999997,1.5e-07,1.5e-07,0.9999997
0.00033779,0.00033779,0.9999997,2.1e-07,2.1e-07,0.99999958,2.3e-07,2.3e-07,0.99999954,1.1e-07,1.1e-07,0.99999977,1.1e-07,1.1e-07,0.99999977
0.00029295,0.00029295,0.99999978,1.5e-07,1.5e-07,0.99999969,1.7e-07,1.7e-07,0.99999966,9e-08,9e-08,0.99999983,9e-08,9e-08,0.99999983
0.00025462,0.00025462,0.99999984,1.1e-07,1.1e-07,0.99999977,1.2e-07,1.2e-07,0.99999975,6e-08,6e-08,0.99999987,6e-08,6e-08,0.99999987
0.00022075,0.00022075,0.99999988,8e-08,8e-08,0.99999983,9e-08,9e-08,0.99999982,5e-08,5e-08,0.9999999,5e-08,5e-08,0.9999999
0.00018879,0.00018879,0.99999991,6e-08,6e-08,0.99999988,6e-08,6e-08,0.99999987,4e-08,4e-08,0.99999993,4e-08,4e-08,0.99999993
0.00016259,0.00016259,0.99999994,4e-08,4e-08,0.99999991,5e-08,5e-08,0.99999991,3e-08,3e-08,0.99999995,3e-08,3e-08,0.99999995
0.0001385,0.0001385,0.99999996,3e-08,3e-08,0.99999994,3e-08,3e-08,0.99999993,2e-08,2e-08,0.99999996,2e-08,2e-08,0.99999996
