occ1,ene1,occ2,ene2,20,02
1.0,-0.187491,1.0,-0.187491,0.70710713,0.707106432
1.0,-0.187491,1.0,-0.187491,0.707107092,0.70710647
1.0,-0.187491,1.0,-0.187491,0.707107058,0.707106504
1.0,-0.187491,1.0,-0.187491,0.707107028,0.707106535
1.0,-0.187491,1.0,-0.187491,0.707107001,0.707106562
1.0,-0.187491,1.0,-0.187491,0.707106976,0.707106586
1.0,-0.187491,1.0,-0.187491,0.707106954,0.707106608
1.0,-0.187491,1.0,-0.187491,0.707106935,0.707106627
1.0,-0.187491,1.0,-0.187491,0.707106918,0.707106645
1.0,-0.187491,1.0,-0.187491,0.707106902,0.70710666
1.0,-0.187491,1.0,-0.187491,0.707106888,0.707106674
1.0,-0.187491,1.0,-0.187491,0.707106876,0.707106686
1.0,-0.187491,1.0,-0.187491,0.707106865,0.707106697
1.0,-0.187491,1.0,-0.187491,0.707106855,0.707106707
1.0,-0.187491,1.0,-0.187491,0.707106847,0.707106716
1.0,-0.187491,1.0,-0.187491,0.707106839,0.707106723
1.0,-0.187491,1.0,-0.187491,0.707106832,0.70710673
1.0,-0.187491,1.0,-0.187491,0.707106826,0.707106736
1.0,-0.187491,1.0,-0.187491,0.707106821,0.707106742
1.0,-0.187491,1.0,-0.187491,0.707106816,0.707106746
1.0,-0.187491,1.0,-0.187491,0.707106812,0.707106751
1.0,-0.187491,1.0,-0.187491,0.707106808,0.707106754
1.0,-0.187491,1.0,-0.187491,0.707106805,0.707106758
1.0,-0.187491,1.0,-0.187491,0.707106802,0.70710676
1.0,-0.187491,1.0,-0.187491,0.707106799,0.707106763
1.0,-0.187491,1.0,-0.187491,0.707106797,0.707106765
1.0,-0.187491,1.0,-0.187491,0.707106795,0.707106767
1.0,-0.187491,1.0,-0.187491,0.707106793,0.707106769
1.0,-0.187491,1.0,-0.187491,0.707106792,0.70710677
1.0,-0.187491,1.0,-0.187491,0.707106791,0.707106772
1.0,-0.187491,1.0,-0.187491,0.707106789,0.707106773
1.0,-0.187491,1.0,-0.187491,0.707106788,0.707106774
1.0,-0.187491,1.0,-0.187491,0.707106787,0.707106775
1.0,-0.187491,1.0,-0.187491,0.707106787,0.707106776
1.0,-0.187491,1.0,-0.187491,0.707106786,0.707106776
1.0,-0.187491,1.0,-0.187491,0.707106785,0.707106777
1.0,-0.187491,1.0,-0.187491,0.707106785,0.707106778
1.0,-0.187491,1.0,-0.187491,0.707106784,0.707106778
1.0,-0.187491,1.0,-0.187491,0.707106784,0.707106778
1.0,-0.187491,1.0,-0.187491,0.707106784,0.707106779
1.0,-0.187491,1.0,-0.187491,0.707106783,0.707106779
1.0,-0.187491,1.0,-0.187491,0.707106783,0.707106779
1.0,-0.187491,1.0,-0.187491,0.707106783,0.70710678
1.0,-0.187491,1.0,-0.187491,0.707106782,0.70710678
1.0,-0.187491,1.0,-0.187491,0.707106782,0.70710678
1.0,-0.187491,1.0,-0.187491,0.707106782,0.70710678
1.0,-0.187491,1.0,-0.187491,0.707106782,0.70710678
1.0,-0.187491,1.0,-0.187491,0.707106782,0.70710678
1.0,-0.187491,1.0,-0.187491,0.707106782,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106782,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106782,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106782,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106782,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
1.0,-0.187491,1.0,-0.187491,0.707106781,0.707106781
