PBE0,wB97MV,wB97MD4rev,wB97XV,wB97XD4rev,M062X,B3LYP,BHandHLYP,TPSS0,TPSSh,wr2scan,r2scan0,r2scanh,r2scan,B97MV,PBE,TPSS,BLYP,VWN3,UPBE0,UPBE,B2PLYP,UB2PLYP
-199.3219159642700617,-199.4621259226976235,-199.5399225302986110,-199.4393041659074868,-199.5171019318419212,-199.4277469385840789,-199.4544302421631699,-199.4166736459245897,-199.4720635289345125,-199.5194871635749507,-199.4136480569312084,-199.3905572249128113,-199.4217393726365799,-199.4430248619523809,-199.4483944935037130,-199.3548304006569367,-199.5517831761736147,-199.5385180546318225,-198.6196136842814894,-199.347790623069,-199.362670823040,-199.426271082296,-199.429652388767
-199.3126658350849709,-199.4522708743205044,-199.5301440560822925,-199.4293808328565092,-199.5072554876024356,-199.4169070706983860,-199.4458001547312165,-199.4062188466392058,-199.4626675823547544,-199.5109999489854431,-199.4037964493145410,-199.3808094072238077,-199.4127980266052020,-199.4346291447907333,-199.4401272811095396,-199.3471858208547474,-199.5439062337170810,-199.5312362201052849,-198.6109677691213733,-199.345893700759,-199.357560545677,-199.419433698817,-199.428615563081
-199.3037874928625115,-199.4427096102061228,-199.5206574417837544,-199.4197792124540172,-199.4977288329454836,-199.4065012438323663,-199.4374773314286244,-199.3961480552327714,-199.4536449844898982,-199.5028433525179423,-199.3942825959477432,-199.3714657641124575,-199.4042280665195506,-199.4265815889217492,-199.4322246178670071,-199.3398343372703891,-199.5363306155686871,-199.5241906341494484,-198.6026903850640508,-199.344407406442,-199.352738966310,-199.413092729773,-199.427831757525
-199.2953223095139492,-199.4334949279588329,-199.5115151052614522,-199.4105445127857195,-199.4885668070096756,-199.3965784473608664,-199.4295102612921653,-199.3865053041929229,-199.4450395709014003,-199.4950641710238983,-199.3851527366412313,-199.3625692689995219,-199.3960752577283415,-199.4189299309499575,-199.4247164869544235,-199.3328216558153372,-199.5291051091738552,-199.5174346404670587,-198.5948234269177703,-199.343232106815,-199.348189071528,-199.407297756747,-199.427224168313
-199.2873019479061441,-199.4246763893758327,-199.5027662230300223,-199.4017085383433425,-199.4798008305550923,-199.3871763321840547,-199.4219380917841988,-199.3773217220371805,-199.4368854902616590,-199.4877013753472568,-199.3764358027541164,-199.3541414831951784,-199.3883631348118683,-199.4116992809279907,-199.4176181358172926,-199.3261870457846499,-199.5222720066812769,-199.5110149460352886,-198.5874019052579911,-199.342316941136,-199.343922379741,-199.402084883587,-199.426749057848
-199.2797429898269854,-199.4162778501037678,-199.4944344262912921,-199.3932910689160565,-199.4714504379059008,-199.3783285058643457,-199.4147829529830176,-199.3686129159129337,-199.4292013438837046,-199.4807779556014111,-199.3681496968503950,-199.3461951756274004,-199.3811068340001782,-199.4049063390384333,-199.4109477728215722,-199.3199540939791348,-199.5158573303708067,-199.5049599699312921,-198.5804433340206572,-199.341616401700,,-199.397473462987,-199.426376646922
-199.2726413258379523,-199.4082922064869194,-199.4865126972706264,-199.3852969419571366,-199.4635205384022356,-199.3700576287630781,-199.4080440120907838,-199.3603768419302753,-199.4219862450680694,-199.4742950602287124,-199.3602945240274380,-199.3387287327358308,-199.3743069036090958,-199.3985534578184797,-199.4047104766120242,-199.3141212970606944,-199.5098636174605531,-199.4992709351876101,-198.5739404371142882,-199.341088367372,,-199.393463415650,-199.426076276129
-199.2659775322480584,-199.4007029936777826,-199.4789848262049929,-199.3777132238228660,-199.4559983983336906,-199.3623257349424023,-199.4017055206481359,-199.3525997895155228,-199.4152233017832998,-199.4682353978677156,-199.3528516363116125,-199.3317207405132194,-199.3679382356429244,-199.3926123881334433,-199.3988947889225471,-199.3086682048870557,-199.5042732483808550,-199.4939317235715919,-198.5678691029690413,-199.340684704916,-199.335089456910,-199.390041410496,
-199.2597290945444399,-199.3934935865008811,-199.4718342998856144,-199.3705210482038126,-199.4488652766575854,-199.3550791211121123,-199.3957501116001936,-199.3452653299858071,-199.4088892903895953,-199.4625745451307637,-199.3458032548390406,-199.3251509629475891,-199.3619806543566710,-199.3870631511375677,-199.3934679269912067,-199.3035713969663050,-199.4990608910837295,-199.4889254250547879,-198.5622048324329398,-199.340355401082,-199.333158651559,-199.387190265547,-199.425620622383
-199.2538811696530843,-199.3866571593069068,-199.4650541993941886,-199.3637069398884876,-199.4421076596121054,-199.3482745186993554,-199.3901683114334276,-199.3383606978434273,-199.4029675292998149,-199.4572966431633176,-199.3391407947930531,-199.3190080490624609,-199.3564273364814028,-199.3819024276474181,-199.3884007063801675,-199.2988188000164200,-199.4942112002114811,-199.4842459496358344,-198.5569346858135305,-199.340067389612,-199.331538824316,-199.384895827137,-199.425457515703
